,Day,yyyy_mm_dd,facility_county,ENCOUNTER_FACILITY_NAME,ENCOUNTER_FACILITY_STREET,ENCOUNTER_FACILITY_CITY,ENCOUNTER_FACILITY_STATE,ENCOUNTER_FACILITY_ZIP,mem_cnt,covid19_related_mem_cnt
37,03-09,2020-03-09,Suffolk,St. Elizabeth's Medical Center,736 Cambridge St.,Brighton,MA,02135,1,0.0
38,03-24,2020-03-24,Worcester,Heywood Hospital,242 Green Street,Gardner,MA,01440,2,0.0
39,03-25,2020-03-25,Essex,North Shore Medical Center - Salem,81 Highland Ave,Salem,MA,01970,1,0.0
40,03-25,2020-03-25,Suffolk,Spaulding Outpatient Center Brighton,20 Guest St,Brighton,MA,02135,1,0.0
41,01-02,2020-01-02,Hampshire,Cooley Dickinson Hospital,30 Locust Street (Route 9),Northampton,MA,01061,4,0.0
42,01-03,2020-01-03,Worcester,UMass Memorial - HealthAlliance,60 Hospital Rd.,Leominster,MA,01453,3,0.0
43,01-05,2020-01-05,0,Harrington Hospital,100 South Street,Southbridge,MA,1550,1,0.0
44,01-05,2020-01-05,Suffolk,Spaulding Rehabiliation Hospital - Boston,300 First Avenue,Charlestown,MA,02129,1,0.0
45,01-09,2020-01-09,Bristol,Charlton Memorial Hospital,363 Highland Ave,Fall River,MA,02720,2,1.0
46,01-13,2020-01-13,Bristol,Morton Hospital,88 Washington St.,Taunton,MA,02780,6,0.0
47,01-15,2020-01-15,Suffolk,Tufts Medical Center,"800 Washington St,",Boston,MA,02111,4,0.0
48,01-23,2020-01-23,Hampden,Mercy Medical Center - MA,271 Carew St,Springfield,MA,01104,1,0.0
49,01-26,2020-01-26,Suffolk,St. Elizabeth's Medical Center,736 Cambridge St.,Brighton,MA,02135,7,0.0
50,02-01,2020-02-01,0,Beth Israel Deaconess Medical Center,330 Brookline Avenue,Boston,MA,0225,11,0.0
51,02-07,2020-02-07,Middlesex,Winchester Hospital,41 Highland Ave,Winchester,MA,01890,4,2.0
52,02-13,2020-02-13,Middlesex,Newton-Wellesley Hospital,2014 Washington St,Newton,MA,02462,9,5.0
53,02-25,2020-02-25,Bristol,Sturdy Memorial Hospital,211 Park St,Attleboro,MA,02703,2,0.0
54,03-03,2020-03-03,Hampden,Baystate Medical Center,"759 Chestnut St,",Springfield,MA,01199,7,0.0
55,03-06,2020-03-06,Hampden,Mercy Medical Center - MA,271 Carew St,Springfield,MA,01104,3,0.0
56,03-07,2020-03-07,Bristol,St. Luke's Hospital,101 Page Street,New Bedford,MA,02740,11,10.0
57,03-07,2020-03-07,Essex,Jeffrey & Susan Brudnick Center - SNF,240 Lynnfield St,Peabody,MA,01960,1,1.0
58,03-08,2020-03-08,Hampshire,Cooley Dickinson Hospital,30 Locust Street (Route 9),Northampton,MA,01061,4,1.0
59,03-11,2020-03-11,Middlesex,Metrowest Medical Center - Leonard Morse Hospital,67 Union St,Natick,MA,01760,1,0.0
60,03-12,2020-03-12,Worcester,Athol Hospital,2033 Main St,Athol,MA,01331,3,0.0
61,03-17,2020-03-17,Worcester,Saint Vincent Hospital,123 Summer St.,Worchester,MA,01608,3,0.0
62,03-18,2020-03-18,Bristol,Morton Hospital,88 Washington St.,Taunton,MA,02780,3,0.0
63,03-26,2020-03-26,Suffolk,Spaulding Rehabiliation Hospital - Boston,300 First Avenue,Charlestown,MA,02129,1,0.0
64,01-01,2020-01-01,Essex,North Shore Medical Center - Salem,81 Highland Ave,Salem,MA,01970,6,1.0
65,01-01,2020-01-01,Suffolk,St. Elizabeth's Medical Center,736 Cambridge St.,Brighton,MA,02135,7,0.0
66,01-02,2020-01-02,0,Harrington Hospital,100 South Street,Southbridge,MA,1550,3,0.0
67,01-04,2020-01-04,Norfolk,Steward Satellite Emergency Facility - Quincy (Carney Hospital),114 Whitwell St.,Quincy,MA,02169,1,0.0
68,01-11,2020-01-11,Essex,Lahey Hospital - Peabody,1 Essex Center Dr,Peabody,MA,01960,2,1.0
69,01-11,2020-01-11,Worcester,Saint Vincent Hospital,123 Summer St.,Worchester,MA,01608,1,0.0
70,01-15,2020-01-15,Worcester,UMass Memorial - HealthAlliance,60 Hospital Rd.,Leominster,MA,01453,2,0.0
71,01-19,2020-01-19,Plymouth,Life Care Center of Plymouth - SNF,94 Obery St,Plymouth,MA,02360,1,0.0
72,01-19,2020-01-19,Suffolk,Boston Medical Center,1 Boston Medical Center Pl,Boston,MA,02118,2,1.0
73,01-24,2020-01-24,Middlesex,Nashoba Valley Medical Center,200 Groton Road,Ayer,MA,01432,2,0.0
74,01-25,2020-01-25,Bristol,Morton Hospital,88 Washington St.,Taunton,MA,02780,2,0.0
75,01-28,2020-01-28,Barnstable,Athena Healthcare - Cape Heritage - SNF,37 Route 6a,Sandwich,MA,02563,1,0.0
76,02-06,2020-02-06,Bristol,Sturdy Memorial Hospital,211 Park St,Attleboro,MA,02703,6,0.0
77,02-06,2020-02-06,Suffolk,Brigham And Women's Hospital,75 Francis St,Boston,MA,02115,14,4.0
78,02-07,2020-02-07,Essex,Lawrence General Hospital,1 General St,Lawrence,MA,01841,3,1.0
79,02-09,2020-02-09,Suffolk,Brigham and Women's Faulkner Hospital,1153 Centre St,Boston,MA,02130,2,1.0
80,02-11,2020-02-11,Essex,North Shore Medical Center - Salem,81 Highland Ave,Salem,MA,01970,4,0.0
81,02-11,2020-02-11,Plymouth,Brockton Hospital,680 Centre St,Brockton,MA,02302,3,0.0
82,02-11,2020-02-11,Plymouth,Tobey Hospital,43 High Street,Wareham,MA,02571,2,2.0
83,02-18,2020-02-18,Essex,Holy Family Hospital - Methuen,70 East St.,Methuen,MA,01844,1,0.0
84,02-25,2020-02-25,Middlesex,Nashoba Valley Medical Center,200 Groton Road,Ayer,MA,01432,4,0.0
85,03-01,2020-03-01,Bristol,Sturdy Memorial Hospital,211 Park St,Attleboro,MA,02703,3,0.0
86,03-02,2020-03-02,Worcester,UMass Memorial ED,119 Belmont St,Worcester,MA,01605,1,1.0
87,03-10,2020-03-10,Essex,North Shore Medical Center - Salem,81 Highland Ave,Salem,MA,01970,2,1.0
88,03-10,2020-03-10,Middlesex,UMass Memorial - Marlborough,159 Union St Suite 103,Marlborough,MA,01752,1,1.0
89,03-11,2020-03-11,Middlesex,Newton-Wellesley Hospital,2014 Washington St,Newton,MA,02462,5,2.0
90,03-15,2020-03-15,Suffolk,Massachusetts General Hospital,55 Fruit Street,Boston,MA,02114,17,7.0
91,03-21,2020-03-21,Suffolk,Spaulding Outpatient Center Brighton,20 Guest St,Brighton,MA,02135,1,0.0
92,03-25,2020-03-25,Suffolk,Carney Hospital,2100 Dorchester Ave,Dorchester,MA,02124,2,0.0
93,01-09,2020-01-09,Middlesex,Newton-Wellesley Hospital,2014 Washington St,Newton,MA,02462,7,1.0
94,01-11,2020-01-11,Plymouth,Brockton Hospital,680 Centre St,Brockton,MA,02302,2,0.0
95,01-13,2020-01-13,Worcester,Heywood Hospital,242 Green Street,Gardner,MA,01440,1,0.0
96,01-14,2020-01-14,Middlesex,Winchester Hospital,41 Highland Ave,Winchester,MA,01890,3,1.0
97,01-22,2020-01-22,Norfolk,Norwood Hospital,800 Washington St.,Norwood,MA,02062,7,0.0
98,01-27,2020-01-27,Norfolk,Norwood Hospital,800 Washington St.,Norwood,MA,02062,6,0.0
99,01-30,2020-01-30,Bristol,St. Luke's Hospital,101 Page Street,New Bedford,MA,02740,12,7.0
100,01-30,2020-01-30,Suffolk,Spaulding Outpatient Center Brighton,20 Guest St,Brighton,MA,02135,1,0.0
101,02-06,2020-02-06,Bristol,Charlton Memorial Hospital,363 Highland Ave,Fall River,MA,02720,2,0.0
102,02-06,2020-02-06,Worcester,UMass Memorial - Medical Center University,55 N Lake Ave.,Worcester,MA,01655,9,1.0
103,02-11,2020-02-11,Bristol,Sturdy Memorial Hospital,211 Park St,Attleboro,MA,02703,5,0.0
104,02-25,2020-02-25,0,Beth Israel Deaconess Medical Center,330 Brookline Avenue,Boston,MA,0225,12,0.0
105,02-25,2020-02-25,Norfolk,South Shore Hospital,55 Fogg Road,South Weymouth,MA,02190,8,3.0
106,02-28,2020-02-28,Essex,Lawrence General Hospital,1 General St,Lawrence,MA,01841,5,5.0
107,03-05,2020-03-05,Plymouth,Brockton Hospital,680 Centre St,Brockton,MA,02302,5,1.0
108,03-07,2020-03-07,Franklin,Baystate Franklin Medical Center,164 High St,Greenfield,MA,01301,3,0.0
109,03-18,2020-03-18,Suffolk,Boston Medical Center,1 Boston Medical Center Pl,Boston,MA,02118,2,0.0
110,03-25,2020-03-25,Bristol,Saint Anne's Hospital,795 Middle St.,Fall River,MA,02721,6,0.0
111,03-26,2020-03-26,Middlesex,Lowell General Saints Campus,1 Hospital Dr,Lowell,MA,01852,1,0.0
112,03-27,2020-03-27,Hampden,Mercy Medical Center - MA,271 Carew St,Springfield,MA,01104,2,0.0
113,01-01,2020-01-01,Essex,Holy Family Hospital - Methuen,70 East St.,Methuen,MA,01844,1,0.0
114,01-01,2020-01-01,Essex,Lahey Hospital - Peabody,1 Essex Center Dr,Peabody,MA,01960,1,1.0
115,01-05,2020-01-05,Essex,Holy Family Hospital - Methuen,70 East St.,Methuen,MA,01844,1,0.0
116,01-07,2020-01-07,Bristol,Sturdy Memorial Hospital,211 Park St,Attleboro,MA,02703,4,0.0
117,01-08,2020-01-08,Bristol,Charlton Memorial Hospital,363 Highland Ave,Fall River,MA,02720,1,0.0
118,01-13,2020-01-13,Suffolk,Tufts Medical Center,"800 Washington St,",Boston,MA,02111,3,0.0
119,01-15,2020-01-15,Norfolk,South Shore Hospital,55 Fogg Road,South Weymouth,MA,02190,8,2.0
120,01-26,2020-01-26,0,Beth Israel Deaconess Medical Center,330 Brookline Avenue,Boston,MA,0225,7,0.0
121,01-27,2020-01-27,Bristol,Saint Anne's Hospital,795 Middle St.,Fall River,MA,02721,5,0.0
122,01-30,2020-01-30,Essex,Lahey Hospital - Peabody,1 Essex Center Dr,Peabody,MA,01960,1,0.0
123,02-01,2020-02-01,Worcester,Athol Hospital,2033 Main St,Athol,MA,01331,2,0.0
124,02-04,2020-02-04,Norfolk,Norwood Hospital,800 Washington St.,Norwood,MA,02062,10,0.0
125,02-06,2020-02-06,Hampden,Baystate Noble Hospital,115 West Silver Street,Westfield,MA,01085,2,0.0
126,02-07,2020-02-07,Suffolk,Brigham And Women's Hospital,75 Francis St,Boston,MA,02115,15,3.0
127,02-21,2020-02-21,Bristol,St. Luke's Hospital,101 Page Street,New Bedford,MA,02740,8,5.0
128,02-28,2020-02-28,Suffolk,Spaulding Outpatient Center Brighton,20 Guest St,Brighton,MA,02135,1,0.0
129,03-01,2020-03-01,Suffolk,Boston Medical Center,1 Boston Medical Center Pl,Boston,MA,02118,3,0.0
130,03-03,2020-03-03,Middlesex,Life Care Center of Nashoba Valley - SNF,191 Foster St,Littleton,MA,01460,1,1.0
131,03-09,2020-03-09,Suffolk,Boston Medical Center,1 Boston Medical Center Pl,Boston,MA,02118,4,1.0
132,03-26,2020-03-26,Middlesex,Newton-Wellesley Hospital,2014 Washington St,Newton,MA,02462,4,2.0
133,03-27,2020-03-27,Worcester,Athol Hospital,2033 Main St,Athol,MA,01331,1,0.0
134,01-01,2020-01-01,Suffolk,Tufts Medical Center,"800 Washington St,",Boston,MA,02111,7,0.0
135,01-03,2020-01-03,Suffolk,St. Elizabeth's Medical Center,736 Cambridge St.,Brighton,MA,02135,10,0.0
136,01-05,2020-01-05,Middlesex,Lahey Hospital - Burlington,41 Burlington Mall Road,Burlington,MA,01805,6,2.0
137,01-08,2020-01-08,Suffolk,Boston Medical Center,1 Boston Medical Center Pl,Boston,MA,02118,4,1.0
138,01-14,2020-01-14,Suffolk,Massachusetts General Hospital,55 Fruit Street,Boston,MA,02114,19,9.0
139,01-17,2020-01-17,Essex,Beverly Hospital,85 Herrick St,Beverly,MA,01915,4,1.0
140,01-20,2020-01-20,Middlesex,Mount Auburn Hospital,330 MOUNT AUBURN ST,CAMBRIDGE,MA,02138,4,2.0
141,01-22,2020-01-22,Suffolk,Boston Medical Center,1 Boston Medical Center Pl,Boston,MA,02118,4,1.0
142,01-24,2020-01-24,Hampden,Mercy Medical Center - MA,271 Carew St,Springfield,MA,01104,3,0.0
143,02-01,2020-02-01,Middlesex,Emerson Hospital,133 Old Rd to 9 Acre Corner,Concord,MA,01742,5,1.0
144,02-03,2020-02-03,Suffolk,Massachusetts General Hospital,55 Fruit Street,Boston,MA,02114,6,4.0
145,02-20,2020-02-20,Middlesex,Emerson Hospital,133 Old Rd to 9 Acre Corner,Concord,MA,01742,3,0.0
146,02-21,2020-02-21,Bristol,Saint Anne's Hospital,795 Middle St.,Fall River,MA,02721,6,1.0
147,02-25,2020-02-25,Worcester,UMass Memorial - Medical Center University,55 N Lake Ave.,Worcester,MA,01655,20,9.0
148,03-03,2020-03-03,Plymouth,Tobey Hospital,43 High Street,Wareham,MA,02571,8,3.0
149,03-14,2020-03-14,Suffolk,Carney Hospital,2100 Dorchester Ave,Dorchester,MA,02124,6,0.0
150,03-14,2020-03-14,Worcester,UMass Memorial Medical Center,119 Belmont Street,Worcester,MA,01605,6,1.0
151,03-15,2020-03-15,Hampden,Mercy Medical Center - MA,271 Carew St,Springfield,MA,01104,3,0.0
152,03-16,2020-03-16,Norfolk,Steward Satellite Emergency Facility - Quincy (Carney Hospital),114 Whitwell St.,Quincy,MA,02169,2,0.0
153,03-25,2020-03-25,Suffolk,St. Elizabeth's Medical Center,736 Cambridge St.,Brighton,MA,02135,3,0.0
154,01-02,2020-01-02,Suffolk,Spaulding Rehabiliation Hospital - Boston,300 First Avenue,Charlestown,MA,02129,2,0.0
155,01-03,2020-01-03,Essex,Holy Family Hospital-Haverhill,140 Lincoln Ave.,Haverhill,MA,01830,5,0.0
156,01-04,2020-01-04,Suffolk,Carney Hospital,2100 Dorchester Ave,Dorchester,MA,02124,3,0.0
157,01-05,2020-01-05,Middlesex,Winchester Hospital,41 Highland Ave,Winchester,MA,01890,6,1.0
158,01-10,2020-01-10,Middlesex,Metrowest Medical Center - Leonard Morse Hospital,67 Union St,Natick,MA,01760,1,0.0
159,01-10,2020-01-10,Suffolk,Carney Hospital,2100 Dorchester Ave,Dorchester,MA,02124,4,0.0
160,01-11,2020-01-11,Middlesex,Metrowest Medical Center - Leonard Morse Hospital,67 Union St,Natick,MA,01760,1,0.0
161,01-13,2020-01-13,Middlesex,Winchester Hospital,41 Highland Ave,Winchester,MA,01890,7,4.0
162,01-15,2020-01-15,Hampden,Life Care Center of Wilbraham - SNF,2399 Boston Rd,Wilbraham,MA,01095,1,1.0
163,01-16,2020-01-16,Suffolk,Carney Hospital,2100 Dorchester Ave,Dorchester,MA,02124,4,0.0
164,01-17,2020-01-17,Hampden,Baystate Noble Hospital,115 West Silver Street,Westfield,MA,01085,2,0.0
165,01-21,2020-01-21,0,Salter - Woburn Rehabilitation and Nursing Center - SNF,18 Frances St,Woburn,MA,0180,1,0.0
166,01-22,2020-01-22,Essex,Lawrence General Hospital,1 General St,Lawrence,MA,01841,3,3.0
167,01-22,2020-01-22,Middlesex,Life Care Center of Nashoba Valley - SNF,191 Foster St,Littleton,MA,01460,1,1.0
168,02-03,2020-02-03,Bristol,St. Luke's Hospital,101 Page Street,New Bedford,MA,02740,6,3.0
169,02-05,2020-02-05,Middlesex,Lowell General Hospital,295 Varnum Avenue,Lowell,MA,01854,2,1.0
170,02-07,2020-02-07,Suffolk,Massachusetts General Hospital,55 Fruit Street,Boston,MA,02114,20,10.0
171,02-18,2020-02-18,Middlesex,Lahey Hospital - Burlington,41 Burlington Mall Road,Burlington,MA,01805,4,1.0
172,02-20,2020-02-20,Hampshire,Linda Manor Extended Care Facility,345 Haydenville Road,Leeds,MA,01053,1,0.0
173,02-20,2020-02-20,Middlesex,Lahey Hospital - Burlington,41 Burlington Mall Road,Burlington,MA,01805,1,0.0
174,02-23,2020-02-23,Hampden,Baystate Medical Center,"759 Chestnut St,",Springfield,MA,01199,16,0.0
175,02-23,2020-02-23,Middlesex,Lowell General Hospital,295 Varnum Avenue,Lowell,MA,01854,3,0.0
176,02-28,2020-02-28,Middlesex,Nashoba Valley Medical Center,200 Groton Road,Ayer,MA,01432,1,0.0
177,03-02,2020-03-02,Middlesex,Nashoba Valley Medical Center,200 Groton Road,Ayer,MA,01432,3,0.0
178,03-03,2020-03-03,Worcester,Milford Regional Medical Center,14 Prospect Street,Milford,MA,01757,5,0.0
179,03-05,2020-03-05,0,Harrington Hospital,100 South Street,Southbridge,MA,1550,1,0.0
180,03-05,2020-03-05,Middlesex,Lahey Hospital - Burlington,41 Burlington Mall Road,Burlington,MA,01805,6,1.0
181,03-06,2020-03-06,Bristol,Sturdy Memorial Hospital,211 Park St,Attleboro,MA,02703,5,0.0
182,03-24,2020-03-24,Hampshire,Cooley Dickinson Hospital,30 Locust Street (Route 9),Northampton,MA,01061,1,1.0
183,03-26,2020-03-26,Hampshire,Cooley Dickinson Hospital,30 Locust Street (Route 9),Northampton,MA,01061,4,3.0
184,01-02,2020-01-02,Essex,Holy Family Hospital-Haverhill,140 Lincoln Ave.,Haverhill,MA,01830,5,0.0
185,01-11,2020-01-11,Hampshire,Baystate Mary Lane Outpatient Center,85 South St,Ware,MA,01082,5,0.0
186,01-15,2020-01-15,Suffolk,Massachusetts General Hospital,55 Fruit Street,Boston,MA,02114,17,7.0
187,01-16,2020-01-16,Worcester,UMass Memorial ED,119 Belmont St,Worcester,MA,01605,1,1.0
188,01-18,2020-01-18,Essex,Lahey Hospital - Peabody,1 Essex Center Dr,Peabody,MA,01960,2,1.0
189,01-18,2020-01-18,Suffolk,Brigham and Women's Faulkner Hospital,1153 Centre St,Boston,MA,02130,3,1.0
190,01-22,2020-01-22,Hampden,Baystate Medical Center,"759 Chestnut St,",Springfield,MA,01199,8,0.0
191,01-26,2020-01-26,Plymouth,Brockton Hospital,680 Centre St,Brockton,MA,02302,1,0.0
192,01-30,2020-01-30,Essex,Lawrence General Hospital,1 General St,Lawrence,MA,01841,4,1.0
193,01-31,2020-01-31,Plymouth,Life Care Center of Plymouth - SNF,94 Obery St,Plymouth,MA,02360,1,0.0
194,02-03,2020-02-03,Essex,Holy Family Hospital-Haverhill,140 Lincoln Ave.,Haverhill,MA,01830,2,0.0
195,02-21,2020-02-21,Middlesex,Nashoba Valley Medical Center,200 Groton Road,Ayer,MA,01432,1,0.0
196,03-05,2020-03-05,Essex,Holy Family Hospital - Methuen,70 East St.,Methuen,MA,01844,2,1.0
197,03-07,2020-03-07,Norfolk,Norwood Hospital,800 Washington St.,Norwood,MA,02062,8,0.0
198,03-08,2020-03-08,0,Beth Israel Deaconess Medical Center,330 Brookline Avenue,Boston,MA,0225,7,0.0
199,03-12,2020-03-12,Hampshire,Baystate Mary Lane Outpatient Center,85 South St,Ware,MA,01082,3,0.0
200,03-15,2020-03-15,Worcester,UMass Memorial - Medical Center University,55 N Lake Ave.,Worcester,MA,01655,11,4.0
201,03-16,2020-03-16,Norfolk,Norwood Hospital,800 Washington St.,Norwood,MA,02062,7,0.0
202,03-17,2020-03-17,Middlesex,Spaulding Hospital Cambridge,"1575 Cambridge St,",Cambridge,MA,02138,2,0.0
203,03-20,2020-03-20,Essex,North Shore Medical Center - Salem,81 Highland Ave,Salem,MA,01970,1,0.0
204,01-01,2020-01-01,Berkshire,Kimball Farms Nursing Care Center,40 Sunset Ave,LENOX,MA,01240,1,0.0
205,01-01,2020-01-01,Worcester,UMass Memorial - Clinton,201 Highland St.,Clinton,MA,01510,3,2.0
206,01-04,2020-01-04,Plymouth,Tobey Hospital,43 High Street,Wareham,MA,02571,2,1.0
207,01-05,2020-01-05,Essex,Addison Gilbert Hospital,298 Washington St,Gloucester,MA,01930,2,0.0
208,01-07,2020-01-07,Worcester,UMass Memorial - HealthAlliance,60 Hospital Rd.,Leominster,MA,01453,6,4.0
209,01-08,2020-01-08,Franklin,Charlene Manor Extended Care,130 Colrain Rd.,Greenfield,MA,01301,1,0.0
210,01-08,2020-01-08,Hampshire,Baystate Mary Lane Outpatient Center,85 South St,Ware,MA,01082,3,0.0
211,01-15,2020-01-15,Hampshire,Baystate Mary Lane Outpatient Center,85 South St,Ware,MA,01082,2,0.0
212,01-21,2020-01-21,0,Beth Israel Deaconess Medical Center,330 Brookline Avenue,Boston,MA,0225,4,0.0
213,01-21,2020-01-21,Hampden,Mercy Medical Center - MA,271 Carew St,Springfield,MA,01104,3,0.0
214,01-27,2020-01-27,Worcester,UMass Memorial Medical Center,119 Belmont Street,Worcester,MA,01605,3,0.0
215,02-03,2020-02-03,0,Harrington Hospital,100 South Street,Southbridge,MA,1550,3,0.0
216,02-04,2020-02-04,Bristol,St. Luke's Hospital,101 Page Street,New Bedford,MA,02740,9,4.0
217,02-09,2020-02-09,Hampden,Mercy Medical Center - MA,271 Carew St,Springfield,MA,01104,2,0.0
218,02-10,2020-02-10,Bristol,Charlton Memorial Hospital,363 Highland Ave,Fall River,MA,02720,6,3.0
219,02-21,2020-02-21,Suffolk,Tufts Medical Center,"800 Washington St,",Boston,MA,02111,4,0.0
220,03-02,2020-03-02,Worcester,Saint Vincent Hospital,123 Summer St.,Worchester,MA,01608,1,0.0
221,03-03,2020-03-03,Suffolk,Carney Hospital,2100 Dorchester Ave,Dorchester,MA,02124,2,0.0
222,03-06,2020-03-06,Worcester,UMass Memorial ED,119 Belmont St,Worcester,MA,01605,3,1.0
223,03-19,2020-03-19,Middlesex,Metrowest Medical Center - Leonard Morse Hospital,67 Union St,Natick,MA,01760,1,0.0
224,03-21,2020-03-21,Suffolk,Boston Medical Center,1 Boston Medical Center Pl,Boston,MA,02118,1,0.0
225,03-22,2020-03-22,Hampshire,Cooley Dickinson Hospital,30 Locust Street (Route 9),Northampton,MA,01061,3,0.0
226,03-25,2020-03-25,Middlesex,Lahey Hospital - Burlington,41 Burlington Mall Road,Burlington,MA,01805,2,1.0
227,01-02,2020-01-02,Hampden,Baystate Medical Center,"759 Chestnut St,",Springfield,MA,01199,6,0.0
228,01-04,2020-01-04,Bristol,Sturdy Memorial Hospital,211 Park St,Attleboro,MA,02703,3,0.0
229,01-13,2020-01-13,Essex,North Shore Medical Center - Salem,81 Highland Ave,Salem,MA,01970,3,0.0
230,01-16,2020-01-16,Suffolk,Boston Medical Center,1 Boston Medical Center Pl,Boston,MA,02118,6,2.0
231,01-16,2020-01-16,Worcester,Athol Hospital,2033 Main St,Athol,MA,01331,1,0.0
232,01-19,2020-01-19,Worcester,UMass Memorial - Medical Center University,55 N Lake Ave.,Worcester,MA,01655,8,3.0
233,01-21,2020-01-21,Middlesex,Nashoba Valley Medical Center,200 Groton Road,Ayer,MA,01432,2,0.0
234,01-26,2020-01-26,Essex,Prescott House,140 Prescott Street,North Andover,MA,01845,1,1.0
235,01-28,2020-01-28,Essex,Anna Jaques Hospital,25 Highland Ave,Newburyport,MA,01950,2,0.0
236,01-29,2020-01-29,Worcester,UMass Memorial - Medical Center University,55 N Lake Ave.,Worcester,MA,01655,13,5.0
237,01-30,2020-01-30,0,Harrington Hospital,100 South Street,Southbridge,MA,1550,1,0.0
238,02-05,2020-02-05,Essex,Beverly Hospital,85 Herrick St,Beverly,MA,01915,3,1.0
