,ENCOUNTER_FACILITY_NAME,ENCOUNTER_FACILITY_STREET,ENCOUNTER_FACILITY_CITY,ENCOUNTER_FACILITY_STATE,ENCOUNTER_FACILITY_ZIP,facility_county,yyyy_mm_dd,mm_dd,mem_cnt
20,Nashoba Valley Medical Center,200 Groton Road,Ayer,MA,01432,Middlesex,2020-01-08,01-08,3
21,Nashoba Valley Medical Center,200 Groton Road,Ayer,MA,01432,Middlesex,2020-01-25,01-25,4
22,Nashoba Valley Medical Center,200 Groton Road,Ayer,MA,01432,Middlesex,2020-01-22,01-22,3
23,Nashoba Valley Medical Center,200 Groton Road,Ayer,MA,01432,Middlesex,2020-01-19,01-19,5
24,Nashoba Valley Medical Center,200 Groton Road,Ayer,MA,01432,Middlesex,2020-01-07,01-07,3
25,Nashoba Valley Medical Center,200 Groton Road,Ayer,MA,01432,Middlesex,2020-01-10,01-10,4
26,Nashoba Valley Medical Center,200 Groton Road,Ayer,MA,01432,Middlesex,2020-02-01,02-01,5
27,Nashoba Valley Medical Center,200 Groton Road,Ayer,MA,01432,Middlesex,2020-03-10,03-10,5
28,Nashoba Valley Medical Center,200 Groton Road,Ayer,MA,01432,Middlesex,2020-01-05,01-05,3
29,Nashoba Valley Medical Center,200 Groton Road,Ayer,MA,01432,Middlesex,2020-01-04,01-04,4
30,Nashoba Valley Medical Center,200 Groton Road,Ayer,MA,01432,Middlesex,2020-02-10,02-10,4
31,Nashoba Valley Medical Center,200 Groton Road,Ayer,MA,01432,Middlesex,2020-03-16,03-16,3
32,Nashoba Valley Medical Center,200 Groton Road,Ayer,MA,01432,Middlesex,2020-01-11,01-11,3
33,Nashoba Valley Medical Center,200 Groton Road,Ayer,MA,01432,Middlesex,2020-03-01,03-01,3
34,Nashoba Valley Medical Center,200 Groton Road,Ayer,MA,01432,Middlesex,2020-02-18,02-18,5
35,Nashoba Valley Medical Center,200 Groton Road,Ayer,MA,01432,Middlesex,2020-01-09,01-09,3
36,Nashoba Valley Medical Center,200 Groton Road,Ayer,MA,01432,Middlesex,2020-01-01,01-01,1
37,Nashoba Valley Medical Center,200 Groton Road,Ayer,MA,01432,Middlesex,2020-03-15,03-15,1
38,Nashoba Valley Medical Center,200 Groton Road,Ayer,MA,01432,Middlesex,2020-03-18,03-18,2
39,Nashoba Valley Medical Center,200 Groton Road,Ayer,MA,01432,Middlesex,2020-01-29,01-29,4
40,Nashoba Valley Medical Center,200 Groton Road,Ayer,MA,01432,Middlesex,2020-02-06,02-06,2
41,Nashoba Valley Medical Center,200 Groton Road,Ayer,MA,01432,Middlesex,2020-02-13,02-13,1
42,Nashoba Valley Medical Center,200 Groton Road,Ayer,MA,01432,Middlesex,2020-03-24,03-24,2
43,Nashoba Valley Medical Center,200 Groton Road,Ayer,MA,01432,Middlesex,2020-02-20,02-20,2
44,Nashoba Valley Medical Center,200 Groton Road,Ayer,MA,01432,Middlesex,2020-01-26,01-26,1
45,Nashoba Valley Medical Center,200 Groton Road,Ayer,MA,01432,Middlesex,2020-03-19,03-19,3
46,Nashoba Valley Medical Center,200 Groton Road,Ayer,MA,01432,Middlesex,2020-03-04,03-04,3
47,Nashoba Valley Medical Center,200 Groton Road,Ayer,MA,01432,Middlesex,2020-03-06,03-06,3
48,Nashoba Valley Medical Center,200 Groton Road,Ayer,MA,01432,Middlesex,2020-01-16,01-16,1
49,Nashoba Valley Medical Center,200 Groton Road,Ayer,MA,01432,Middlesex,2020-02-03,02-03,2
50,Nashoba Valley Medical Center,200 Groton Road,Ayer,MA,01432,Middlesex,2020-02-02,02-02,2
51,Nashoba Valley Medical Center,200 Groton Road,Ayer,MA,01432,Middlesex,2020-02-05,02-05,1
52,Nashoba Valley Medical Center,200 Groton Road,Ayer,MA,01432,Middlesex,2020-01-31,01-31,2
53,Nashoba Valley Medical Center,200 Groton Road,Ayer,MA,01432,Middlesex,2020-02-23,02-23,3
54,Nashoba Valley Medical Center,200 Groton Road,Ayer,MA,01432,Middlesex,2020-03-17,03-17,2
55,Nashoba Valley Medical Center,200 Groton Road,Ayer,MA,01432,Middlesex,2020-03-21,03-21,1
56,Nashoba Valley Medical Center,200 Groton Road,Ayer,MA,01432,Middlesex,2020-01-30,01-30,2
57,Apple Valley Center,400 Groton Road,Ayer,MA,01432,Middlesex,2020-01-01,01-01,1
58,Nashoba Valley Medical Center,200 Groton Road,Ayer,MA,01432,Middlesex,2020-03-09,03-09,1
59,Nashoba Valley Medical Center,200 Groton Road,Ayer,MA,01432,Middlesex,2020-03-07,03-07,1
60,Apple Valley Center,400 Groton Road,Ayer,MA,01432,Middlesex,2020-01-18,01-18,1
61,Apple Valley Center,400 Groton Road,Ayer,MA,01432,Middlesex,2020-02-13,02-13,1
62,Apple Valley Center,400 Groton Road,Ayer,MA,01432,Middlesex,2020-03-21,03-21,1
63,Apple Valley Center,400 Groton Road,Ayer,MA,01432,Middlesex,2020-01-03,01-03,1
64,Nashoba Valley Medical Center,200 Groton Road,Ayer,MA,01432,Middlesex,2020-03-08,03-08,1
65,Apple Valley Center,400 Groton Road,Ayer,MA,01432,Middlesex,2020-03-08,03-08,1
66,Nashoba Valley Medical Center,200 Groton Road,Ayer,MA,01432,Middlesex,2020-02-28,02-28,1
67,Nashoba Valley Medical Center,200 Groton Road,Ayer,MA,01432,Middlesex,2020-02-21,02-21,1
68,Sturdy Memorial Hospital,211 Park St,Attleboro,MA,02703,Bristol,2020-03-08,03-08,4
69,Sturdy Memorial Hospital,211 Park St,Attleboro,MA,02703,Bristol,2020-01-15,01-15,3
70,Sturdy Memorial Hospital,211 Park St,Attleboro,MA,02703,Bristol,2020-01-03,01-03,2
71,Sturdy Memorial Hospital,211 Park St,Attleboro,MA,02703,Bristol,2020-02-11,02-11,5
72,Sturdy Memorial Hospital,211 Park St,Attleboro,MA,02703,Bristol,2020-01-24,01-24,5
73,Sturdy Memorial Hospital,211 Park St,Attleboro,MA,02703,Bristol,2020-02-09,02-09,5
74,Sturdy Memorial Hospital,211 Park St,Attleboro,MA,02703,Bristol,2020-01-07,01-07,4
75,Sturdy Memorial Hospital,211 Park St,Attleboro,MA,02703,Bristol,2020-01-02,01-02,3
76,Sturdy Memorial Hospital,211 Park St,Attleboro,MA,02703,Bristol,2020-02-07,02-07,6
77,Sturdy Memorial Hospital,211 Park St,Attleboro,MA,02703,Bristol,2020-02-28,02-28,3
78,Sturdy Memorial Hospital,211 Park St,Attleboro,MA,02703,Bristol,2020-01-05,01-05,5
79,Sturdy Memorial Hospital,211 Park St,Attleboro,MA,02703,Bristol,2020-01-14,01-14,4
80,Sturdy Memorial Hospital,211 Park St,Attleboro,MA,02703,Bristol,2020-03-01,03-01,3
81,Sturdy Memorial Hospital,211 Park St,Attleboro,MA,02703,Bristol,2020-01-25,01-25,4
82,Sturdy Memorial Hospital,211 Park St,Attleboro,MA,02703,Bristol,2020-02-13,02-13,3
83,Sturdy Memorial Hospital,211 Park St,Attleboro,MA,02703,Bristol,2020-01-29,01-29,7
84,Sturdy Memorial Hospital,211 Park St,Attleboro,MA,02703,Bristol,2020-02-18,02-18,2
85,Sturdy Memorial Hospital,211 Park St,Attleboro,MA,02703,Bristol,2020-03-11,03-11,4
86,Sturdy Memorial Hospital,211 Park St,Attleboro,MA,02703,Bristol,2020-01-31,01-31,4
87,Sturdy Memorial Hospital,211 Park St,Attleboro,MA,02703,Bristol,2020-03-14,03-14,2
88,Sturdy Memorial Hospital,211 Park St,Attleboro,MA,02703,Bristol,2020-01-04,01-04,3
89,Sturdy Memorial Hospital,211 Park St,Attleboro,MA,02703,Bristol,2020-03-04,03-04,5
90,Sturdy Memorial Hospital,211 Park St,Attleboro,MA,02703,Bristol,2020-03-05,03-05,8
91,Sturdy Memorial Hospital,211 Park St,Attleboro,MA,02703,Bristol,2020-03-07,03-07,3
92,Sturdy Memorial Hospital,211 Park St,Attleboro,MA,02703,Bristol,2020-01-08,01-08,4
93,Sturdy Memorial Hospital,211 Park St,Attleboro,MA,02703,Bristol,2020-01-23,01-23,3
94,Sturdy Memorial Hospital,211 Park St,Attleboro,MA,02703,Bristol,2020-03-06,03-06,5
95,Sturdy Memorial Hospital,211 Park St,Attleboro,MA,02703,Bristol,2020-01-11,01-11,3
96,Sturdy Memorial Hospital,211 Park St,Attleboro,MA,02703,Bristol,2020-01-09,01-09,7
97,Sturdy Memorial Hospital,211 Park St,Attleboro,MA,02703,Bristol,2020-01-10,01-10,3
98,Sturdy Memorial Hospital,211 Park St,Attleboro,MA,02703,Bristol,2020-02-25,02-25,2
99,Sturdy Memorial Hospital,211 Park St,Attleboro,MA,02703,Bristol,2020-03-20,03-20,3
100,Sturdy Memorial Hospital,211 Park St,Attleboro,MA,02703,Bristol,2020-02-03,02-03,4
101,Sturdy Memorial Hospital,211 Park St,Attleboro,MA,02703,Bristol,2020-01-21,01-21,4
102,Sturdy Memorial Hospital,211 Park St,Attleboro,MA,02703,Bristol,2020-02-02,02-02,7
103,Sturdy Memorial Hospital,211 Park St,Attleboro,MA,02703,Bristol,2020-02-10,02-10,3
104,Sturdy Memorial Hospital,211 Park St,Attleboro,MA,02703,Bristol,2020-01-30,01-30,6
105,Sturdy Memorial Hospital,211 Park St,Attleboro,MA,02703,Bristol,2020-03-15,03-15,2
106,Sturdy Memorial Hospital,211 Park St,Attleboro,MA,02703,Bristol,2020-01-17,01-17,2
107,Sturdy Memorial Hospital,211 Park St,Attleboro,MA,02703,Bristol,2020-02-05,02-05,3
108,Sturdy Memorial Hospital,211 Park St,Attleboro,MA,02703,Bristol,2020-03-23,03-23,3
109,Sturdy Memorial Hospital,211 Park St,Attleboro,MA,02703,Bristol,2020-03-12,03-12,4
110,Sturdy Memorial Hospital,211 Park St,Attleboro,MA,02703,Bristol,2020-01-01,01-01,1
111,Sturdy Memorial Hospital,211 Park St,Attleboro,MA,02703,Bristol,2020-03-22,03-22,2
112,Sturdy Memorial Hospital,211 Park St,Attleboro,MA,02703,Bristol,2020-01-27,01-27,5
113,Sturdy Memorial Hospital,211 Park St,Attleboro,MA,02703,Bristol,2020-02-21,02-21,3
114,Sturdy Memorial Hospital,211 Park St,Attleboro,MA,02703,Bristol,2020-02-06,02-06,6
115,Sturdy Memorial Hospital,211 Park St,Attleboro,MA,02703,Bristol,2020-01-06,01-06,4
116,Sturdy Memorial Hospital,211 Park St,Attleboro,MA,02703,Bristol,2020-03-03,03-03,7
117,Sturdy Memorial Hospital,211 Park St,Attleboro,MA,02703,Bristol,2020-03-21,03-21,2
118,Sturdy Memorial Hospital,211 Park St,Attleboro,MA,02703,Bristol,2020-03-09,03-09,1
119,Sturdy Memorial Hospital,211 Park St,Attleboro,MA,02703,Bristol,2020-01-16,01-16,3
120,Sturdy Memorial Hospital,211 Park St,Attleboro,MA,02703,Bristol,2020-01-28,01-28,8
121,Sturdy Memorial Hospital,211 Park St,Attleboro,MA,02703,Bristol,2020-02-23,02-23,3
122,Sturdy Memorial Hospital,211 Park St,Attleboro,MA,02703,Bristol,2020-01-13,01-13,3
123,Sturdy Memorial Hospital,211 Park St,Attleboro,MA,02703,Bristol,2020-03-10,03-10,3
124,Sturdy Memorial Hospital,211 Park St,Attleboro,MA,02703,Bristol,2020-01-26,01-26,2
125,Sturdy Memorial Hospital,211 Park St,Attleboro,MA,02703,Bristol,2020-01-20,01-20,2
126,Sturdy Memorial Hospital,211 Park St,Attleboro,MA,02703,Bristol,2020-03-02,03-02,3
127,Sturdy Memorial Hospital,211 Park St,Attleboro,MA,02703,Bristol,2020-01-22,01-22,3
128,Sturdy Memorial Hospital,211 Park St,Attleboro,MA,02703,Bristol,2020-02-01,02-01,3
129,Sturdy Memorial Hospital,211 Park St,Attleboro,MA,02703,Bristol,2020-03-13,03-13,2
130,Sturdy Memorial Hospital,211 Park St,Attleboro,MA,02703,Bristol,2020-02-04,02-04,4
131,Sturdy Memorial Hospital,211 Park St,Attleboro,MA,02703,Bristol,2020-01-19,01-19,3
132,Sturdy Memorial Hospital,211 Park St,Attleboro,MA,02703,Bristol,2020-02-20,02-20,2
133,Sturdy Memorial Hospital,211 Park St,Attleboro,MA,02703,Bristol,2020-01-18,01-18,2
134,Sturdy Memorial Hospital,211 Park St,Attleboro,MA,02703,Bristol,2020-03-24,03-24,3
135,Sturdy Memorial Hospital,211 Park St,Attleboro,MA,02703,Bristol,2020-02-16,02-16,1
136,Milford Regional Medical Center,14 Prospect Street,Milford,MA,01757,Worcester,2020-03-01,03-01,5
137,Milford Regional Medical Center,14 Prospect Street,Milford,MA,01757,Worcester,2020-02-13,02-13,5
138,Milford Regional Medical Center,14 Prospect Street,Milford,MA,01757,Worcester,2020-01-23,01-23,4
139,Milford Regional Medical Center,14 Prospect Street,Milford,MA,01757,Worcester,2020-03-10,03-10,9
140,Milford Regional Medical Center,14 Prospect Street,Milford,MA,01757,Worcester,2020-02-11,02-11,10
141,Milford Regional Medical Center,14 Prospect Street,Milford,MA,01757,Worcester,2020-01-17,01-17,5
142,Milford Regional Medical Center,14 Prospect Street,Milford,MA,01757,Worcester,2020-01-08,01-08,7
143,Milford Regional Medical Center,14 Prospect Street,Milford,MA,01757,Worcester,2020-01-19,01-19,3
144,Milford Regional Medical Center,14 Prospect Street,Milford,MA,01757,Worcester,2020-01-22,01-22,8
145,Milford Regional Medical Center,14 Prospect Street,Milford,MA,01757,Worcester,2020-02-18,02-18,5
146,Milford Regional Medical Center,14 Prospect Street,Milford,MA,01757,Worcester,2020-01-27,01-27,2
147,Milford Regional Medical Center,14 Prospect Street,Milford,MA,01757,Worcester,2020-03-14,03-14,6
148,Milford Regional Medical Center,14 Prospect Street,Milford,MA,01757,Worcester,2020-01-10,01-10,5
149,Milford Regional Medical Center,14 Prospect Street,Milford,MA,01757,Worcester,2020-03-04,03-04,2
150,Milford Regional Medical Center,14 Prospect Street,Milford,MA,01757,Worcester,2020-01-20,01-20,4
151,Milford Regional Medical Center,14 Prospect Street,Milford,MA,01757,Worcester,2020-01-21,01-21,5
152,Milford Regional Medical Center,14 Prospect Street,Milford,MA,01757,Worcester,2020-03-21,03-21,3
153,Milford Regional Medical Center,14 Prospect Street,Milford,MA,01757,Worcester,2020-02-25,02-25,2
154,Milford Regional Medical Center,14 Prospect Street,Milford,MA,01757,Worcester,2020-01-07,01-07,2
155,Milford Regional Medical Center,14 Prospect Street,Milford,MA,01757,Worcester,2020-03-15,03-15,3
156,Milford Regional Medical Center,14 Prospect Street,Milford,MA,01757,Worcester,2020-03-17,03-17,3
157,Milford Regional Medical Center,14 Prospect Street,Milford,MA,01757,Worcester,2020-02-20,02-20,4
158,Milford Regional Medical Center,14 Prospect Street,Milford,MA,01757,Worcester,2020-02-09,02-09,6
159,Milford Regional Medical Center,14 Prospect Street,Milford,MA,01757,Worcester,2020-01-30,01-30,5
160,Milford Regional Medical Center,14 Prospect Street,Milford,MA,01757,Worcester,2020-01-15,01-15,4
161,Milford Regional Medical Center,14 Prospect Street,Milford,MA,01757,Worcester,2020-03-13,03-13,3
162,Milford Regional Medical Center,14 Prospect Street,Milford,MA,01757,Worcester,2020-01-13,01-13,3
163,Milford Regional Medical Center,14 Prospect Street,Milford,MA,01757,Worcester,2020-03-08,03-08,8
164,Milford Regional Medical Center,14 Prospect Street,Milford,MA,01757,Worcester,2020-03-05,03-05,5
165,Milford Regional Medical Center,14 Prospect Street,Milford,MA,01757,Worcester,2020-01-29,01-29,8
166,Milford Regional Medical Center,14 Prospect Street,Milford,MA,01757,Worcester,2020-01-24,01-24,5
167,Milford Regional Medical Center,14 Prospect Street,Milford,MA,01757,Worcester,2020-02-23,02-23,3
168,Milford Regional Medical Center,14 Prospect Street,Milford,MA,01757,Worcester,2020-01-11,01-11,5
169,Milford Regional Medical Center,14 Prospect Street,Milford,MA,01757,Worcester,2020-03-03,03-03,5
170,Milford Regional Medical Center,14 Prospect Street,Milford,MA,01757,Worcester,2020-03-02,03-02,4
171,Milford Regional Medical Center,14 Prospect Street,Milford,MA,01757,Worcester,2020-03-18,03-18,2
172,Milford Regional Medical Center,14 Prospect Street,Milford,MA,01757,Worcester,2020-01-09,01-09,3
173,Milford Regional Medical Center,14 Prospect Street,Milford,MA,01757,Worcester,2020-01-04,01-04,5
174,Milford Regional Medical Center,14 Prospect Street,Milford,MA,01757,Worcester,2020-01-14,01-14,4
175,Milford Regional Medical Center,14 Prospect Street,Milford,MA,01757,Worcester,2020-02-28,02-28,3
176,Milford Regional Medical Center,14 Prospect Street,Milford,MA,01757,Worcester,2020-03-16,03-16,2
177,Milford Regional Medical Center,14 Prospect Street,Milford,MA,01757,Worcester,2020-03-11,03-11,7
178,Milford Regional Medical Center,14 Prospect Street,Milford,MA,01757,Worcester,2020-01-28,01-28,3
179,Milford Regional Medical Center,14 Prospect Street,Milford,MA,01757,Worcester,2020-02-05,02-05,5
180,Milford Regional Medical Center,14 Prospect Street,Milford,MA,01757,Worcester,2020-03-12,03-12,3
181,Milford Regional Medical Center,14 Prospect Street,Milford,MA,01757,Worcester,2020-03-23,03-23,2
182,Milford Regional Medical Center,14 Prospect Street,Milford,MA,01757,Worcester,2020-03-06,03-06,7
183,Milford Regional Medical Center,14 Prospect Street,Milford,MA,01757,Worcester,2020-01-16,01-16,3
184,Milford Regional Medical Center,14 Prospect Street,Milford,MA,01757,Worcester,2020-02-21,02-21,6
185,Milford Regional Medical Center,14 Prospect Street,Milford,MA,01757,Worcester,2020-02-04,02-04,5
186,Milford Regional Medical Center,14 Prospect Street,Milford,MA,01757,Worcester,2020-01-31,01-31,4
187,Milford Regional Medical Center,14 Prospect Street,Milford,MA,01757,Worcester,2020-03-24,03-24,1
188,Milford Regional Medical Center,14 Prospect Street,Milford,MA,01757,Worcester,2020-02-03,02-03,2
189,Milford Regional Medical Center,14 Prospect Street,Milford,MA,01757,Worcester,2020-02-07,02-07,5
190,Milford Regional Medical Center,14 Prospect Street,Milford,MA,01757,Worcester,2020-01-06,01-06,3
191,Milford Regional Medical Center,14 Prospect Street,Milford,MA,01757,Worcester,2020-03-19,03-19,4
192,Milford Regional Medical Center,14 Prospect Street,Milford,MA,01757,Worcester,2020-03-07,03-07,7
193,Milford Regional Medical Center,14 Prospect Street,Milford,MA,01757,Worcester,2020-03-20,03-20,3
194,Milford Regional Medical Center,14 Prospect Street,Milford,MA,01757,Worcester,2020-02-02,02-02,2
195,Milford Regional Medical Center,14 Prospect Street,Milford,MA,01757,Worcester,2020-02-01,02-01,3
196,Milford Regional Medical Center,14 Prospect Street,Milford,MA,01757,Worcester,2020-02-06,02-06,3
197,Milford Regional Medical Center,14 Prospect Street,Milford,MA,01757,Worcester,2020-01-25,01-25,4
198,Milford Regional Medical Center,14 Prospect Street,Milford,MA,01757,Worcester,2020-01-03,01-03,5
199,Milford Regional Medical Center,14 Prospect Street,Milford,MA,01757,Worcester,2020-01-18,01-18,3
200,Milford Regional Medical Center,14 Prospect Street,Milford,MA,01757,Worcester,2020-01-05,01-05,3
201,Milford Regional Medical Center,14 Prospect Street,Milford,MA,01757,Worcester,2020-03-22,03-22,2
202,Milford Regional Medical Center,14 Prospect Street,Milford,MA,01757,Worcester,2020-02-10,02-10,4
203,Milford Regional Medical Center,14 Prospect Street,Milford,MA,01757,Worcester,2020-02-16,02-16,2
204,Milford Regional Medical Center,14 Prospect Street,Milford,MA,01757,Worcester,2020-01-26,01-26,4
205,Milford Regional Medical Center,14 Prospect Street,Milford,MA,01757,Worcester,2020-01-02,01-02,4
206,Milford Regional Medical Center,14 Prospect Street,Milford,MA,01757,Worcester,2020-01-01,01-01,1
207,Milford Regional Medical Center,14 Prospect Street,Milford,MA,01757,Worcester,2020-03-09,03-09,1
208,Beverly Hospital,85 Herrick St,Beverly,MA,01915,Essex,2020-02-18,02-18,3
209,Beverly Hospital,85 Herrick St,Beverly,MA,01915,Essex,2020-02-01,02-01,6
210,Beverly Hospital,85 Herrick St,Beverly,MA,01915,Essex,2020-03-19,03-19,2
211,Beverly Hospital,85 Herrick St,Beverly,MA,01915,Essex,2020-02-06,02-06,4
212,Beverly Hospital,85 Herrick St,Beverly,MA,01915,Essex,2020-03-03,03-03,7
213,Beverly Hospital,85 Herrick St,Beverly,MA,01915,Essex,2020-01-04,01-04,2
214,Beverly Hospital,85 Herrick St,Beverly,MA,01915,Essex,2020-03-11,03-11,6
215,Beverly Hospital,85 Herrick St,Beverly,MA,01915,Essex,2020-01-28,01-28,8
216,Beverly Hospital,85 Herrick St,Beverly,MA,01915,Essex,2020-01-18,01-18,5
217,Beverly Hospital,85 Herrick St,Beverly,MA,01915,Essex,2020-03-06,03-06,5
218,Beverly Hospital,85 Herrick St,Beverly,MA,01915,Essex,2020-02-25,02-25,6
219,Beverly Hospital,85 Herrick St,Beverly,MA,01915,Essex,2020-01-21,01-21,3
220,Beverly Hospital,85 Herrick St,Beverly,MA,01915,Essex,2020-02-21,02-21,7
221,Beverly Hospital,85 Herrick St,Beverly,MA,01915,Essex,2020-01-17,01-17,4
222,Beverly Hospital,85 Herrick St,Beverly,MA,01915,Essex,2020-01-24,01-24,4
223,Beverly Hospital,85 Herrick St,Beverly,MA,01915,Essex,2020-02-05,02-05,3
224,Beverly Hospital,85 Herrick St,Beverly,MA,01915,Essex,2020-01-02,01-02,5
225,Beverly Hospital,85 Herrick St,Beverly,MA,01915,Essex,2020-03-13,03-13,3
226,Beverly Hospital,85 Herrick St,Beverly,MA,01915,Essex,2020-03-07,03-07,10
227,Beverly Hospital,85 Herrick St,Beverly,MA,01915,Essex,2020-03-20,03-20,3
228,Beverly Hospital,85 Herrick St,Beverly,MA,01915,Essex,2020-03-08,03-08,5
229,Beverly Hospital,85 Herrick St,Beverly,MA,01915,Essex,2020-03-17,03-17,5
230,Beverly Hospital,85 Herrick St,Beverly,MA,01915,Essex,2020-01-06,01-06,2
231,Beverly Hospital,85 Herrick St,Beverly,MA,01915,Essex,2020-01-30,01-30,5
232,Beverly Hospital,85 Herrick St,Beverly,MA,01915,Essex,2020-01-08,01-08,2
233,Beverly Hospital,85 Herrick St,Beverly,MA,01915,Essex,2020-01-15,01-15,2
234,Beverly Hospital,85 Herrick St,Beverly,MA,01915,Essex,2020-01-27,01-27,5
235,Beverly Hospital,85 Herrick St,Beverly,MA,01915,Essex,2020-01-01,01-01,2
236,Beverly Hospital,85 Herrick St,Beverly,MA,01915,Essex,2020-02-07,02-07,3
237,Beverly Hospital,85 Herrick St,Beverly,MA,01915,Essex,2020-01-26,01-26,5
238,Beverly Hospital,85 Herrick St,Beverly,MA,01915,Essex,2020-01-29,01-29,3
239,Beverly Hospital,85 Herrick St,Beverly,MA,01915,Essex,2020-01-14,01-14,3
240,Beverly Hospital,85 Herrick St,Beverly,MA,01915,Essex,2020-02-23,02-23,2
241,Beverly Hospital,85 Herrick St,Beverly,MA,01915,Essex,2020-03-14,03-14,4
242,Beverly Hospital,85 Herrick St,Beverly,MA,01915,Essex,2020-01-13,01-13,2
243,Beverly Hospital,85 Herrick St,Beverly,MA,01915,Essex,2020-03-16,03-16,2
244,Beverly Hospital,85 Herrick St,Beverly,MA,01915,Essex,2020-03-04,03-04,3
245,Beverly Hospital,85 Herrick St,Beverly,MA,01915,Essex,2020-02-11,02-11,8
246,Beverly Hospital,85 Herrick St,Beverly,MA,01915,Essex,2020-03-12,03-12,3
247,Beverly Hospital,85 Herrick St,Beverly,MA,01915,Essex,2020-03-09,03-09,5
248,Beverly Hospital,85 Herrick St,Beverly,MA,01915,Essex,2020-03-18,03-18,2
249,Beverly Hospital,85 Herrick St,Beverly,MA,01915,Essex,2020-01-31,01-31,4
250,Beverly Hospital,85 Herrick St,Beverly,MA,01915,Essex,2020-02-20,02-20,7
251,Beverly Hospital,85 Herrick St,Beverly,MA,01915,Essex,2020-02-28,02-28,3
252,Beverly Hospital,85 Herrick St,Beverly,MA,01915,Essex,2020-02-04,02-04,6
253,Beverly Hospital,85 Herrick St,Beverly,MA,01915,Essex,2020-01-23,01-23,3
254,Beverly Hospital,85 Herrick St,Beverly,MA,01915,Essex,2020-01-19,01-19,2
255,Beverly Hospital,85 Herrick St,Beverly,MA,01915,Essex,2020-01-07,01-07,3
256,Beverly Hospital,85 Herrick St,Beverly,MA,01915,Essex,2020-02-02,02-02,3
257,Beverly Hospital,85 Herrick St,Beverly,MA,01915,Essex,2020-01-05,01-05,2
258,Beverly Hospital,85 Herrick St,Beverly,MA,01915,Essex,2020-02-10,02-10,3
259,Beverly Hospital,85 Herrick St,Beverly,MA,01915,Essex,2020-01-16,01-16,5
260,Beverly Hospital,85 Herrick St,Beverly,MA,01915,Essex,2020-01-11,01-11,1
261,Beverly Hospital,85 Herrick St,Beverly,MA,01915,Essex,2020-02-09,02-09,1
262,Beverly Hospital,85 Herrick St,Beverly,MA,01915,Essex,2020-03-21,03-21,4
263,Beverly Hospital,85 Herrick St,Beverly,MA,01915,Essex,2020-02-13,02-13,4
264,Beverly Hospital,85 Herrick St,Beverly,MA,01915,Essex,2020-03-02,03-02,1
265,Beverly Hospital,85 Herrick St,Beverly,MA,01915,Essex,2020-03-01,03-01,1
266,Beverly Hospital,85 Herrick St,Beverly,MA,01915,Essex,2020-03-05,03-05,3
267,Beverly Hospital,85 Herrick St,Beverly,MA,01915,Essex,2020-02-03,02-03,3
268,Beverly Hospital,85 Herrick St,Beverly,MA,01915,Essex,2020-03-10,03-10,3
